analysis_type,roi_index,roi_label,comparison,coefficient,p_value,p_value_fdr,cohens_d,mean_difference,change_difference,active_change_mean,sham_change_mean,p_value_active_vs_zero,p_value_sham_vs_zero
standard,9,Calcarine cortex mid-posterior RH,stimulation,drift_1,0.1943201946768853,0.9341966166625847,-0.4693822942893955,-0.004901850883587475,,,,,
standard,9,Calcarine cortex mid-posterior RH,stimulation,diffusion,0.06022397338040629,1.0,0.6904309770127456,0.012403804678473879,,,,,
standard,9,Calcarine cortex mid-posterior RH,recovery,drift_0,0.5492900290786482,1.0,-0.2141361948047412,-0.0029044545797915974,,,,,
standard,9,Calcarine cortex mid-posterior RH,recovery,drift_1,0.6878787467791061,1.0,0.14341880247361538,0.0019748889617655432,,,,,
standard,9,Calcarine cortex mid-posterior RH,recovery,diffusion,0.5472083090653291,1.0,-0.21526027264533482,-0.013417891547577637,,,,,
standard,10,Middle frontal gyrus superior RH,baseline,drift_0,0.34437286912779874,1.0,0.33966575822828843,0.00592582927803826,,,,,
standard,10,Middle frontal gyrus superior RH,baseline,drift_1,0.8922131658024164,0.9909178761189527,-0.04831632700821911,-0.000371686247512144,,,,,
standard,10,Middle frontal gyrus superior RH,baseline,diffusion,0.14573716451949076,1.0,-0.528049828756958,-0.018035551883309367,,,,,
standard,10,Middle frontal gyrus superior RH,stimulation,drift_0,0.28303512577089884,0.9471502248019621,-0.38648143975222066,-0.0053519527743884215,,,,,
standard,10,Middle frontal gyrus superior RH,stimulation,drift_1,0.07360912460355173,1.0,0.6554535871208235,0.005712418003785731,,,,,
standard,10,Middle frontal gyrus superior RH,stimulation,diffusion,0.5762718396618433,1.0,-0.1997592475780018,-0.006089330851928393,,,,,
standard,10,Middle frontal gyrus superior RH,recovery,drift_0,0.2856863089253392,1.0,-0.38431843572974106,-0.008718988500198824,,,,,
standard,10,Middle frontal gyrus superior RH,recovery,drift_1,0.18253386901616891,1.0,-0.4824520190742205,-0.005498658345267924,,,,,
standard,10,Middle frontal gyrus superior RH,recovery,diffusion,0.4078624989547518,1.0,0.2967867295027842,0.01061873544175157,,,,,
standard,11,Cerebrospinal fluid (between posterior intraparietal sulcus and skull LH),baseline,drift_0,0.5129276449970162,1.0,-0.23410666061321125,-0.0036676988194137977,,,,,
standard,11,Cerebrospinal fluid (between posterior intraparietal sulcus and skull LH),baseline,drift_1,0.3280140878890203,0.9937468224803455,-0.3515494993016949,-0.003210371932790995,,,,,
standard,11,Cerebrospinal fluid (between posterior intraparietal sulcus and skull LH),baseline,diffusion,0.8606634034252081,0.9869197369623887,-0.06259465373899119,-0.0024133087342065596,,,,,
standard,11,Cerebrospinal fluid (between posterior intraparietal sulcus and skull LH),stimulation,drift_0,0.002890890462149571,0.9867572777470536,1.1469141747850855,0.015876859530222793,,,,,
standard,11,Cerebrospinal fluid (between posterior intraparietal sulcus and skull LH),stimulation,drift_1,0.18669747176454318,0.9280495683829719,0.47776223044437843,0.004607327235984562,,,,,
standard,11,Cerebrospinal fluid (between posterior intraparietal sulcus and skull LH),stimulation,diffusion,0.010963440815004652,1.0,-0.9588286870870852,-0.03288149926963453,,,,,
standard,11,Cerebrospinal fluid (between posterior intraparietal sulcus and skull LH),recovery,drift_0,0.5028235647703971,1.0,0.2397908701690539,0.0036202387543191536,,,,,
standard,11,Cerebrospinal fluid (between posterior intraparietal sulcus and skull LH),recovery,drift_1,0.812375476097321,0.9938739396937356,0.084662792058318,0.0008493746998592688,,,,,
standard,11,Cerebrospinal fluid (between posterior intraparietal sulcus and skull LH),recovery,diffusion,0.824421464288336,1.0,0.07912917730397886,0.00351525130536004,,,,,
standard,12,Superior parietal lobule anterior LH,baseline,drift_0,0.7919671388553777,0.9999683726114758,-0.09408769985680823,-0.0014452053565039424,,,,,
standard,12,Superior parietal lobule anterior LH,baseline,drift_1,0.9577442161356362,0.996676907848467,0.018890046472364665,0.00024563313983886324,,,,,
standard,12,Superior parietal lobule anterior LH,baseline,diffusion,0.986875263687057,0.9995650544169599,-0.005864683279020776,-0.00019359064457206976,,,,,
standard,12,Superior parietal lobule anterior LH,stimulation,drift_0,0.5900790412715977,1.0,0.1925323002079637,0.002603420859465841,,,,,
standard,12,Superior parietal lobule anterior LH,stimulation,drift_1,0.4869027946464367,0.9681329353746625,0.24887795367396,0.0020873631446005144,,,,,
standard,12,Superior parietal lobule anterior LH,stimulation,diffusion,0.5011016894299434,1.0,-0.2407658200539262,-0.008020971477206332,,,,,
