roi_idx,roi_label,comparison,component,active_mean,active_std,sham_mean,sham_std,t_statistic,p_value,cohens_d,n_subjects
251,Cerebellum Crus I LH,recovery_minus_baseline,potential_energy_change,0.022022398960009508,0.08139501221726228,-0.001767801953161275,0.07509557688011503,0.8156784942194975,0.4274471423074735,0.3038003680699654,16
251,Cerebellum Crus I LH,recovery_minus_baseline,entropy_change,-0.008289165921340935,0.16471738839894032,-0.03466363369345293,0.11738483860666672,0.5595118562108695,0.5840710987216826,0.18440749022781205,16
252,Supramarginal gyrus middle LH,stimulation_minus_baseline,free_energy_change,0.10569254881358789,0.24825093324022549,-0.012604396826070174,0.1477054022968076,2.129982704455917,0.05013881378613265,0.5791449829352635,16
252,Supramarginal gyrus middle LH,stimulation_minus_baseline,potential_energy_change,0.04835196477665232,0.15133845953503552,-0.010454464265248795,0.08684057552481954,1.4234805108500423,0.175064160989716,0.47663350026817763,16
252,Supramarginal gyrus middle LH,stimulation_minus_baseline,entropy_change,0.057340584036935593,0.13949562071704985,-0.002149932560821327,0.14409318104121163,1.5030042588089736,0.15359761139800684,0.41949964026369974,16
252,Supramarginal gyrus middle LH,recovery_minus_baseline,free_energy_change,0.027508721637027556,0.17753042441500627,-0.03481709739662703,0.18219368744795997,1.0483132504066044,0.3110926592842304,0.3464909950977031,16
252,Supramarginal gyrus middle LH,recovery_minus_baseline,potential_energy_change,0.029707128076993605,0.10902502468548314,0.007289400811803942,0.08999229621868438,0.6468896659982231,0.5274790906763411,0.22426099713798678,16
252,Supramarginal gyrus middle LH,recovery_minus_baseline,entropy_change,-0.002198406439965911,0.11981316675062081,-0.04210649820843093,0.1586070579276792,0.8685545322370287,0.3987748300728463,0.2839322900626863,16
253,Middle frontal sulcus anterior RH,stimulation_minus_baseline,free_energy_change,0.00018470138406839753,0.1610876421466051,0.03059524563271801,0.24993126008182273,-0.39469554841163484,0.6986229043055805,-0.14463604935011717,16
253,Middle frontal sulcus anterior RH,stimulation_minus_baseline,potential_energy_change,0.03100192043847265,0.10316944329771034,0.02029895999515365,0.13509631999305127,0.28891681857383883,0.7765996216849325,0.08904467368567368,16
253,Middle frontal sulcus anterior RH,stimulation_minus_baseline,entropy_change,-0.030817219054404377,0.11283156233370255,0.01029628563756424,0.13658882925644322,-0.833393111725075,0.4176965624186382,-0.32818697722182766,16
253,Middle frontal sulcus anterior RH,recovery_minus_baseline,free_energy_change,0.004608976827916111,0.11519840358090631,-0.01892642386739568,0.21459751593788176,0.35221090238975145,0.7295796771081339,0.13665511695559804,16
253,Middle frontal sulcus anterior RH,recovery_minus_baseline,potential_energy_change,0.025079857142307926,0.07234941169801368,-0.0007613054476614083,0.11992526988891873,0.8132435523641657,0.42879874576688526,0.2609253048580339,16
253,Middle frontal sulcus anterior RH,recovery_minus_baseline,entropy_change,-0.020470880314391898,0.10335188326884895,-0.018165118419734394,0.14373383473360948,-0.045271025532173895,0.9644884784396986,-0.018419288216921216,16
254,Precuneus anterior LH,stimulation_minus_baseline,free_energy_change,0.026424468523800065,0.21045654277602147,-0.036384226395480446,0.21428949268489716,0.9774350622562189,0.3438554706302053,0.29573501546529296,16
254,Precuneus anterior LH,stimulation_minus_baseline,potential_energy_change,0.011701551752820078,0.09953957007252605,-0.018886438177923105,0.08495853610015149,0.9713116759525671,0.346796324052315,0.3305498516325696,16
254,Precuneus anterior LH,stimulation_minus_baseline,entropy_change,0.014722916770979977,0.1416851487800898,-0.017497788217557264,0.17857017191307323,0.6940689017017142,0.4982481171185055,0.19989740604712417,16
254,Precuneus anterior LH,recovery_minus_baseline,free_energy_change,0.03110144018585448,0.12434496979808776,-0.026680289198077717,0.14601616251216235,1.1627671209983292,0.2630896217391169,0.42607451087586656,16
254,Precuneus anterior LH,recovery_minus_baseline,potential_energy_change,0.007876916457324034,0.08567999073691814,-0.021481540346328275,0.11702589499715389,0.7792482162777743,0.44795401477998564,0.28626311463947846,16
254,Precuneus anterior LH,recovery_minus_baseline,entropy_change,0.023224523728530455,0.0922302308267634,-0.005198748851749424,0.09587148484722494,0.9682933371402324,0.34825240669080415,0.3021551236046019,16
255,Fornix superior,stimulation_minus_baseline,free_energy_change,-0.09792547151117348,0.2212875844778994,-0.13192281762084074,0.1868707520586711,0.43168448331825987,0.672111220217708,0.16599990305906104,16
255,Fornix superior,stimulation_minus_baseline,potential_energy_change,0.0016759278548955248,0.07429786947518101,-0.017887852328779368,0.1131823236088224,0.557084176978932,0.5856871008235647,0.20435330298655263,16
255,Fornix superior,stimulation_minus_baseline,entropy_change,-0.09960139936606904,0.2009060271791278,-0.11403496529206134,0.15423377166280297,0.20222237258075448,0.8424600330917243,0.08059088920264638,16
255,Fornix superior,recovery_minus_baseline,free_energy_change,-0.04205363475015797,0.2650292792068274,-0.11520017969468316,0.24619005989034404,0.6581346773266629,0.520425331393169,0.28597090159764343,16
