roi_idx,condition,period,free_energy_change
195,sham,stimulation,-0.35452259670905484
196,active,stimulation,-0.05294591937303883
196,sham,stimulation,0.08785526195161086
197,active,stimulation,-0.0847336053330281
197,sham,stimulation,0.04657878917517033
198,active,stimulation,0.008462081655193465
198,sham,stimulation,0.0297014355637355
199,active,stimulation,0.03586939078773632
199,sham,stimulation,-0.052265627276514515
200,active,stimulation,0.06510491075562186
200,sham,stimulation,-0.011493564638020981
201,active,stimulation,0.07633981499576903
201,sham,stimulation,-0.0712574126725678
202,active,stimulation,0.03641601264171168
202,sham,stimulation,0.00846686719852574
203,active,stimulation,-0.06787720867926517
203,sham,stimulation,0.05058899087818025
204,active,stimulation,-0.00620993902163125
204,sham,stimulation,-0.03462026622255232
205,active,stimulation,-0.019038109062557318
